name,rating,reviews,industry,location,highly_rated,critically_rated
Mahindra Logistics,3.7,4.4k,Logistics,Mumbai +232 other locations,,"Promotions / Appraisal, Salary & Benefits"
Aditya Birla Fashion and Retail,4.1,4.4k,Fashion & Textile,Bangalore / Bengaluru +288 other locations,"Job Security, Skill Development / Learning, Company Culture",
Dell,3.8,4.4k,Consumer Electronics & Appliances,Bangalore / Bengaluru +116 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
L&T Finance,3.9,4.4k,NBFC,Mumbai +619 other locations,Salary & Benefits,Promotions / Appraisal
CARS24,3.4,4.4k,Internet,Gurgaon / Gurugram +173 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Randstad,3.7,4.4k,Recruitment,Hyderabad / Secunderabad +344 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
R1 RCM,3.8,4.3k,BPO,New Delhi +46 other locations,Job Security,Promotions / Appraisal
Utkarsh Small Finance Bank,3.6,4.3k,Banking,Varanasi +396 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Havells,3.9,4.3k,Electrical Equipment,Noida +251 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Intas Pharmaceuticals,4.1,4.3k,Pharma,Ahmedabad +145 other locations,"Job Security, Salary & Benefits, Work Life Balance",
Hyundai Motor India Limited,4.1,4.3k,Automobile,Chennai +285 other locations,"Job Security, Salary & Benefits, Company Culture",
Tata AIA Life Insurance,3.9,4.3k,Insurance,Mumbai +432 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Deutsche Bank,3.9,4.2k,Banking,Pune +42 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Hetero,3.9,4.2k,Pharma,Hyderabad / Secunderabad +66 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Motilal Oswal Financial Services,3.7,4.2k,Financial Services,Mumbai +165 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Satisfaction"
Team Lease,3.9,4.1k,Recruitment,Bangalore / Bengaluru +388 other locations,Work Life Balance,Promotions / Appraisal
Berger Paints,3.7,4.1k,Chemicals,Kolkata +340 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Lenskart,3.2,4.1k,Internet,New Delhi +233 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Bajaj Auto,3.8,4.1k,Automobile,Pune +312 other locations,,Promotions / Appraisal
Thermax Limited,4.2,4k,Industrial Machinery,Pune +241 other locations,"Job Security, Company Culture, Skill Development / Learning",
Macleods Pharmaceuticals,3.6,4k,Pharma,Mumbai +130 other locations,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Aakash Educational Services,3.2,4k,Education & Training,New Delhi +243 other locations,,"Promotions / Appraisal, Work Life Balance, Job Security"
LG Electronics,3.9,4k,Consumer Electronics & Appliances,Pune +295 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Jubilant Foods Works,3.7,4k,Hospitality,New Delhi +256 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
VE Commercial Vehicles,3.9,3.9k,Automobile,Indore +153 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Royal Enfield,4.2,3.9k,Automobile,Chennai +370 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
Tata Communications,3.9,3.9k,Telecom,Pune +101 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
John Deere,4.0,3.9k,Industrial Machinery,Pune +153 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
HDFC Ergo General Insurance,3.9,3.9k,Insurance,Mumbai +319 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Jindal Steel Limited,3.9,3.9k,Iron & Steel,Angul +172 other locations,Skill Development / Learning,Promotions / Appraisal
DCB Bank,3.8,3.9k,Banking,Mumbai +336 other locations,Work Life Balance,Promotions / Appraisal
Hindalco Industries,4.2,3.9k,Metals & Mining,Sambalpur +124 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Oyo Rooms,3.1,3.8k,Internet,Gurgaon / Gurugram +119 other locations,,"Job Security, Company Culture, Work Satisfaction"
Cummins,4.3,3.8k,Industrial Machinery,Pune +114 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
State Street Corporation,3.5,3.8k,Financial Services,Bangalore / Bengaluru +33 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
RBL Bank,3.6,3.8k,Banking,Mumbai +283 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Reliance Communications,4.0,3.8k,Telecom,Mumbai +467 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Carelon Global Solutions,3.9,3.8k,Software Product,Bangalore / Bengaluru +21 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Alembic Pharmaceuticals,3.9,3.7k,Pharma,Vadodara +184 other locations,"Salary & Benefits, Work Life Balance",
Bank of America,4.2,3.7k,Banking,Gurgaon / Gurugram +35 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Pidilite Industries,4.2,3.7k,Chemicals,Mumbai +303 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
XpressBees,4.2,3.7k,Logistics,Pune +473 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Subros,3.8,3.7k,Auto Components,Noida +87 other locations,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
American Express,4.1,3.7k,Financial Services,Gurgaon / Gurugram +51 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
PVR Inox,3.9,3.7k,Media & Entertainment,New Delhi +150 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Publicis Sapient,3.4,3.7k,IT Services & Consulting,Bangalore / Bengaluru +46 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Kogta Financial India Limited,4.7,3.7k,NBFC,Jaipur +246 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Viatris,4.1,3.7k,Pharma,Hyderabad / Secunderabad +82 other locations,"Salary & Benefits, Job Security, Work Life Balance",
Automatic Data Processing (ADP),3.9,3.7k,Software Product,Hyderabad / Secunderabad +40 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Sodexo,4.0,3.6k,Facility Management Services,Mumbai +154 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Escorts Kubota Limited,4.0,3.6k,Automobile,Faridabad +151 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
PNB MetLife,3.4,3.6k,Insurance,New Delhi +416 other locations,,"Company Culture, Work Satisfaction, Job Security"
Aditya Birla Sun Life Insurance,4.0,3.6k,Insurance,Mumbai +481 other locations,"Work Life Balance, Company Culture, Job Security",
