Serial_No,Brand,Product_Name,Price,Original_Price,Discount,Product_Link,Image_URL
118,Columbia,Knitted Beanie Cap,₹899,N/A,N/A,https://www.ajio.com/columbia-knitted-beanie-cap-/p/466973564_brown?,
119,YOUSTA,Men Washed Cotton Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-washed-cotton-baseball-cap/p/442974664_blue?,
120,SUPERDRY,Classic Logo Beanie Hat,"₹1,562","₹3,470",(55% off),https://www.ajio.com/superdry-classic-logo-beanie-hat/p/410409075_opk?,
121,ARMANI EXCHANGE,Men Geometrical Seersucker Cap,"₹2,949","₹7,373",(60% off),https://www.ajio.com/armani-exchange-men-geometrical-seersucker-cap/p/410521358_ub101?,
122,Jack & Jones,Logo Embroidery Baseball Cap,₹679,₹799,(15% off),https://www.ajio.com/jack--jones-logo-embroidery-baseball-cap/p/464168591_green?,
123,Altheory Sport by AZORTE,Cotton Baseball Cap,₹105,₹699,(85% off),https://www.ajio.com/altheory-sport-by-azorte-cotton-baseball-cap/p/443025181_black?,
124,EA7 Emporio Armani,Visibility Beanie with Oversized Logo,"₹4,550","₹6,500",(30% off),https://www.ajio.com/ea7-emporio-armani-visibility-beanie-with-oversized-logo/p/410534814_m6180?,
125,SUPERDRY,Merchant Monogram Trucker Cap,"₹1,895","₹4,210",(55% off),https://www.ajio.com/superdry-merchant-monogram-trucker-cap/p/410515773_06a?,
126,Decathlon,FORCLAZ - Unisex Scarves,₹269,₹499,(46% off),https://www.ajio.com/decathlon-forclaz--unisex-scarves/p/702371553_black?,
127,ARMANI EXCHANGE,Eagle Logo Cap,"₹4,740","₹9,480",(50% off),https://www.ajio.com/armani-exchange-eagle-logo-cap/p/410475819_00020?,
128,Aadikart,Woven Beanie with Neck Warmer & Hand Gloves Set,₹350,₹699,(50% off),https://www.ajio.com/aadikart-woven-beanie-with-neck-warmer--hand-gloves-set/p/700924585_black?,
129,ARMANI EXCHANGE,Men Logo Embroidered Baseball Cap,"₹3,371","₹8,427",(60% off),https://www.ajio.com/armani-exchange-men-logo-embroidered-baseball-cap/p/410521559_uc001?,
130,Aadikart,Motorcycle Sports Under Helmet Cap,₹300,₹599,(50% off),https://www.ajio.com/aadikart-motorcycle-sports-under-helmet-cap/p/700924600_green?,
131,THE BEAR HOUSE,Embroidered Baseball Cap,₹555,"₹1,499",(63% off),https://www.ajio.com/the-bear-house-embroidered-baseball-cap/p/466975134_grey?,
132,SUPERDRY,Embroidered Baseball Cap,"₹1,418","₹3,150",(55% off),https://www.ajio.com/superdry-embroidered-baseball-cap/p/410515779_49p?,
133,Jockey,CP21 Polyester Cap with Adjustable Back Closure and StayDry Technology,₹799,N/A,N/A,https://www.ajio.com/jockey-cp21-polyester-cap-with-adjustable-back-closure-and-staydry-technology/p/465302736_black?,
134,Puma,Men Western Beanie,"₹1,079","₹1,799",(40% off),https://www.ajio.com/puma-men-western-beanie/p/701901238_red?,
135,Columbia,Unisex Knitted Reversible Beanie,"₹2,499",N/A,N/A,https://www.ajio.com/columbia-unisex-knitted-reversible-beanie/p/701991646_navy?,
136,Decathlon,FORCLAZ - Unisex Travel 500 Trucker Cap,₹639,₹999,(36% off),https://www.ajio.com/decathlon-forclaz--unisex-travel-500-trucker-cap/p/702229460_green?,
137,GAP,Men Onesize Cashsoft Beanie,₹909,"₹1,299",(30% off),https://www.ajio.com/gap-men-onesize-cashsoft-beanie/p/442692340_black?,
138,MAX,Men Applique Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/max-men-applique-baseball-cap/p/701653657_brown?,
139,MATCHITT,Men Embroidered Baseball Cap,₹359,₹599,(40% off),https://www.ajio.com/matchitt-men-embroidered-baseball-cap/p/442028438_beige?,
140,Puma,Men Flat Cap,₹810,"₹1,799",(55% off),https://www.ajio.com/puma-men-flat-cap/p/702234427_blue?,
141,cazzano,Men Woolen Graphic Cap,₹480,"₹1,199",(60% off),https://www.ajio.com/cazzano-men-woolen-graphic-cap/p/702492701_yellow?,
